scenario,n_windows,first_proactive_window,first_reactive_ai_window,first_reactive_base_window,lead_time_ai_s,lead_time_vs_baseline_s,proactive_windows_count
S1_normal_baseline,100,,,,,,0
S2_sudden_udp_flood,110,,37,32,,,0
S3_gradual_syn_ramp,120,42,,55,,65.0,67
S4_http_flood_ood,120,,,,,,0
S4_http_flood_proactive,120,,,,,,0
S5_icmp_burst_deescalation,100,,,,,,0
S5_icmp_burst_ood,100,,,,,,0
S6_multi_attack_udp_syn,130,71,32,32,-195.0,-195.0,48
S7_sla_fairness_3tenant,120,31,,32,,5.0,78
S8_proactive_t2_vs_reactive_t3,120,31,58,32,135.0,5.0,30
